Frequency	Pol	Txp	Beam	EIRP (dbW)	Provider	System	SR-FEC	Modulation	ONID-TID	Source	Updated	Row
 3657	L	HEL14	Hemi		(feeds)	DVB-S2	3500-2/3	QPSK		DX Bozóth	181002	8000
 3663	L	HEL14	Hemi	38-39	AIT Partners	DVB-S2	5300-2/3	QPSK	8192-4096	DX Bozóth	191214	8001
 3668	L	HEL14	Hemi	38-39	AIT Lagos	DVB-S2	2000-2/3	8PSK	8192-4096	DX Bozóth	191214	8004
 3684	L	HEL14	Hemi	38-39	Dove TV (Nigeria)	DVB-S2	3454-3/5	QPSK	1-1	DX Bozóth	191214	8006
 3697	L	HEL14	Hemi	38-39	Wap TV	DVB-S2	1517-3/5	QPSK	1-1	S Ugbeda	160930	8007
 3701	L	HEL14	Hemi	38-39	TV Continental	DVB-S2	5000-5/6	8PSK	8192-4096	N Schlammer	181121	9000
 3705	L	HEL14	Hemi	38-39	Liberty TV (Nigeria)	DVB-S2	1210-5/6	QPSK	65535-1	DX Bozóth	191101	9003
 3707	L	HEL14	Hemi	38-39	Hip TV	DVB-S2	1250-3/4	8PSK	8192-4096	M Hajdú	190709	9004
 3710	L	HEL14	Hemi	38-39	Osun State Broadcasting Corporation	DVB-S2	1540-5/6	QPSK	0-0	M Hajdú	200319	9005
 3714	L	HEL14	Hemi	38-39	TVGE Internacional	DVB-S2	1725-2/3	8PSK	0-8	M Hajdú	180711	9006
 3800	L	HEL4	Hemi	38-39	American Forces Network	DVB-S2	27500-2/3	8PSK	18-101	DX Bozóth	191029	9007
 3843	R	HER5	Hemi	38-39	ECWA TV	DVB-S2	1134-5/6	QPSK	0-1	DX Bozóth	180821	9045
 3846	R	HER5	Hemi	38-39	SES promo	DVB-S2	2324-2/3	QPSK	?-?	DX Bozóth	180821	9046
 3849	R	HER5	Hemi	38-39	Times TV (Malawi)	DVB-S2	2400-2/3	QPSK	1-1	DX Bozóth	191101	9047
 3853	R	HER5	Hemi	38-39						F Dibba	191104	9048
 3854	R	HER5	Hemi	38-39	Label TV	DVB-S2	1291-2/3	QPSK	65535-1	DX Bozóth	180208	9049
 3857	R	HER5	Hemi	38-39	Galaxy TV Lagos	DVB-S2	1520-3/5	QPSK	8192-4096	Onacila	180214	9050
 3858	R	HER5	Hemi	38-39	Rave TV	DVB-S2	1055-5/6	QPSK	0-1	Onacila	180213	9051
 3860	R	HER5	Hemi	38-39	Core TV News	DVB-S2	1300-5/6	QPSK	?-?	DX Bozóth	180209	9052
 3861	R	HER5	Hemi	38-39	Quest TV	DVB-S2	1000-3/4	QPSK	1-224	DX Bozóth	191121	9053
 3877	R	HER5	Hemi	38-39	CRBC TV	DVB-S2	1134-2/3	QPSK	?-?	DX Bozóth	181002	9054
 3892	R	HER5	Hemi	38-39						DX Bozóth	191121	9055
 3991	R	HER9	Hemi	38-39						DX Bozóth	191214	9056
 3996	R	HER9	Hemi	38-39						DX Bozóth	191214	9057
 3999	R	HER9	Hemi	38-39						DX Bozóth	191214	9058
 4001	R	HER9	Hemi	38-39						DX Bozóth	191214	9059
 4003	R	HER9	Hemi	38-39						DX Bozóth	191214	9060
11265	H	3	Nordic	49-51	Viasat	DVB-S2	30000-3/4	8PSK	86-34	N Schlammer	190711	10000
11265	V	4	Nordic	49-51	Viasat	DVB-S2	30000-3/4	8PSK	86-33	N Schlammer	190315	10001
11305	H	5	Nordic	49-51	Viasat	DVB-S2	30000-3/4	8PSK	86-35	O Andersson	171115	10002
