No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10758	V	30000	3/4		Europe	0	1	0	0	1
	10926	V	27500	5/6		Middle East	0	3	0	0	3
	11052	H	8518	2/3		Middle East	0	2	0	0	2
	11062	H	4500	1/2		Middle East	0	2	0	0	2
	11113	H	8518	3/4		Middle East	9	2	0	0	11
	11140	H	30000	3/4	7	Europe	6	13	0	0	19
	11175	H	30000	3/4	7	Europe	2	13	0	0	15
	11304	H	8889	3/4	9	Europe	1	2	0	0	3
	11350	H	17333	2/3	9	Europe	0	5	0	0	5
	11425	H	30000	3/4	10U	Europe	0	1	0	0	1
	11542	H	3703	3/4		Middle East	0	3	0	0	3
	12341	H	17900	3/4		CEE	1	6	0	0	7
	12354	H	3333	3/4		CEE	0	1	0	0	1
	12410	H	20833	7/8		CEE	0	12	0	0	12
	12515	H	1666	3/4		CEE	1	1	0	0	2
