No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11345	H	30000	3/4	7	Nordic	0	1	0	0	1
	11345	V	30000	3/4	8	Nordic	3	0	0	0	3
	11727	H	27500	2/3	941	Sub Saharan Africa	0	1	0	0	1
	11747	V	30000	3/4	B2	Europe BSS	0	16	0	0	16
	11766	H	27500	2/3	B3	Europe BSS	0	21	0	0	21
	11919	H	27500	3/4	951	Sub Saharan Africa	24	7	0	0	31
	11938	V	27500	5/6	B12	Nordic BSS	0	1	0	0	1
	11996	H	27500	3/4	B15	Nordic BSS	0	6	0	0	6
	11996	H	27500	3/4	255	Sub Saharan Africa	0	1	0	0	1
	12015	V	27500	3/4	B16	Nordic BSS	28	0	0	0	28
	12015	V	29950	3/4	956	Sub Saharan Africa	14	10	0	0	24
	12034	H	27500	3/4	957	Sub Saharan Africa	7	12	0	0	19
	12054	V	30000	3/4	958	Sub Saharan Africa	0	15	0	0	15
	12073	H	27500	3/4	B19	Europe BSS	3	11	0	0	14
	12073	H	27500	3/4	259	Sub Saharan Africa	0	2	0	0	2
	12130	V	27500	3/4	B22	Europe BSS	0	6	0	0	6
	12149	H	27500	3/4	B23	Europe BSS	0	7	0	0	7
	12245	V	30000	2/3	B28	Europe BSS	0	2	0	0	2
	12265	H	30000	3/4	B29	Europe BSS	0	7	0	0	7
	12284	V	27500	3/4	B30	Europe BSS	3	10	0	0	13
	12303	H	25546	7/8	B31	Europe BSS	2	4	0	0	6
	12322	V	27500	5/6	B32	Europe BSS	0	23	0	0	23
	12341	H	30000	3/4	B33	Europe BSS	0	6	0	0	6
	12360	V	27500	5/6	B34	Europe BSS	0	16	0	0	16
	12380	H	27500	3/4	B35	Europe BSS	2	7	0	0	9
	12380	H	27500	3/4	275	Sub Saharan Africa	0	2	0	0	2
	12399	V	27500	3/4	B36	Europe BSS	0	3	0	0	3
	12418	H	27500	3/4	B37	Europe BSS	0	9	0	0	9
	12437	V	30000	2/3	B38	Nordic BSS	0	9	0	0	9
	12565	V	30000	5/6	G4	Sub Saharan Africa	3	1	0	0	4
	12608	H	27500	3/4	EG3	Europe FSS	0	7	0	0	7
	12621	V	3660	2/3	G6	Sub Saharan Africa	1	0	0	0	1
	12637	H	14468	3/4	EG3	Europe FSS	0	5	0	0	5
	12735	H	3600	2/3	EG5	Europe FSS	2	2	0	0	4
