No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10721	H	22000	3/4	A1	Europe B	1	4	0	0	5
	10721	V	27500	3/4	AWW2	West	5	0	0	1	6
	10804	H	30000	5/6	AWW5	West	0	1	0	0	1
	10804	V	30000	5/6	AWW6	West	0	12	0	0	12
	10845	H	30000	5/6	AWW7	West	0	1	0	0	1
	10887	H	30000	4/5	K9	Africa	0	12	0	0	12
	10887	V	30000	5/6	AWW10	West	0	1	0	0	1
	10928	H	30000	3/4	K11	Africa	4	32	0	0	36
	10928	V	30000	5/6	AWW12	West	0	1	0	0	1
	11046	H	8335	5/6	B3	Europe A	0	1	0	0	1
	11192	H	3210	3/4	G3	Africa	1	2	0	0	3
	11192	V	3674	3/4	B6	Europe A	0	1	0	0	1
	11221	H	27500	3/4	C1	Europe A	9	7	0	0	16
	11262	H	27500	5/6	C3	Europe B	0	7	1	0	8
	11304	H	29700	2/3	C5	Europe B	0	6	0	0	6
	11324	V	29700	2/3	C6	Europe B	1	8	0	0	9
	11345	H	27500	5/6	C7	Europe B	0	9	0	0	9
	11356	H	45000	5/6	N3	Africa	18	2	0	0	20
	11387	H	27500	5/6	C9	Europe B	0	4	0	0	4
	11419	H	45000	5/6	N4	Africa	6	1	0	0	7
	11471	H	30000	5/6	DWW1	West	0	1	0	0	1
	11471	V	30000	5/6	DWW2	West	0	4	0	0	4
	11513	H	29900	5/6	DWW3	West	0	6	0	0	6
	11637	H	30000	5/6	DWW9	West	0	1	0	0	1
	12526	V	6592	2/3	F2	Europe A	0	2	0	0	2
	12530	H	1480	3/4	F1	Europe A	0	1	0	0	1
	12538	V	2115	5/6	F2	Europe A	0	1	0	0	1
	12549	V	2222	5/6	F2	Europe A	0	1	0	0	1
	12604	H	29981	2/3	H3	Africa	9	17	0	0	26
	12744	H	2222	3/4	F5	Europe A	0	1	0	0	1
