No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11727	V	30000	3/4	E1	Wide	15	16	0	0	31
	11785	H	27500	2/3	E4	Wide	0	10	0	0	10
	11804	V	27500	2/3	E5	Wide	0	2	0	0	2
	11823	H	27500	3/4	E6	Wide	5	8	0	0	13
	11881	V	27500	2/3	E9	Wide	2	12	0	0	14
	11900	H	27500	2/3	E10	Wide	3	9	0	0	12
	11919	V	27500	3/4	E11	Wide	0	3	0	0	3
	11958	V	27500	2/3	E13	Wide	14	7	0	0	21
	11977	H	27500	2/3	E14	Wide	0	1	0	0	1
	11996	V	27500	3/4	E15	Wide	1	9	0	0	10
	12034	V	27500	3/4	E17	Wide	2	12	0	0	14
	12054	H	27500	2/3	E18	Wide	0	14	0	0	14
	12074	V	30000	3/4	E19	Wide	10	17	0	0	27
	12092	H	27500	3/4	E20	Wide	0	5	0	0	5
	12111	V	27500	5/6	NB1	Nordic & Eastern	0	1	0	0	1
	12149	V	31400	2/3	IT2	Italy	0	14	0	0	14
	12169	H	27500	2/3	GC2	Extended Greece	0	1	0	0	1
	12226	V	27500	5/6	NB4	Nordic & Eastern	0	6	0	0	6
	12256	V	14304	1/2	IT5	Italy	0	21	0	0	21
	12341	V	31400	5/6	IT7	Italy	4	16	0	0	20
	12399	H	27500	2/3	GC8	Extended Greece	2	0	0	0	2
	12466	V	41950	3/4	IT10	Italy	10	31	0	0	41
