No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11644	H	5500	3/4	9	Europe Ku	66	0	0	0	66
	11675	V	1000	3/4	12	Europe Ku	6	0	0	0	6
	11676	V	1410	4/5	12	Europe Ku	7	0	0	0	7
	11678	V	2050	3/4	12	Europe Ku	24	0	0	0	24
	11739	V	29900	2/3	202	Europe Wide	5	25	0	0	30
	11778	V	27500	2/3	204	Europe Wide	0	2	0	0	2
	11856	V	29900	2/3	208	Europe Wide	0	17	0	0	17
	11914	H	30000	3/4	211	Europe Wide	6	1	0	0	7
	11934	V	27500	3/4	212	Europe Wide	7	29	0	0	36
	11973	V	29900	2/3	214	Europe Wide	4	18	0	0	22
	12032	H	27500	9/10	217	Europe Wide	0	3	0	1	4
	12070	H	27500	3/4	219	Europe Wide	0	10	0	0	10
	12090	V	29900	2/3	220	Europe Wide	0	25	0	0	25
	12129	V	29900	2/3	222	Europe Wide	4	27	0	0	31
	12168	V	27500	3/4	224	Europe Wide	3	7	0	0	10
	12188	H	29900	2/3	225	Europe Wide	12	22	0	0	34
	12344	H	29900	2/3	233	Europe Wide	23	1	0	0	24
	12363	V	29500	3/4	234	Europe Wide	32	10	0	1	43
	12402	V	30000	3/4	236	Europe Wide	0	2	0	0	2
	12517	V	16872	3/4	14	Europe Ku	0	7	0	0	7
	12640	V	940	1/2	20	Europe Ku	2	0	0	0	2
	12642	V	477	1/2	20	Europe Ku	1	0	0	0	1
	12643	V	556	3/4	20	Europe Ku	5	0	0	0	5
	12647	V	285	7/8	20	Europe Ku	1	0	0	0	1
