Freq	Pol	SR	Beam	Type	Name	FTA	Encryption	SID	VPID	APID Lang	Row
 3651	L	40450-2/3	C	TV	RTS 1 (Senegal)	Yes	MPEG-2/SD	3101	1012	1013[Fre]	8000
 3651	L	40450-2/3	C	TV	Télé Tchad	Yes	MPEG-4/SD	3102	1021	1022[Fre]	8000
 3651	L	40450-2/3	C	TV	Equinoxe TV	Yes	MPEG-4/SD	3103	1031	1032[Fre]	8000
 3651	L	40450-2/3	C	TV	Alwilayah TV Hausa	Yes	MPEG-4/SD	3104	1041	1042[Hau]	8000
 3651	L	40450-2/3	C	TV	Divin Amour TV	Yes	MPEG-4/SD	3106	1061	1062[Fre]	8000
 3651	L	40450-2/3	C	TV	Sikka TV	Yes	MPEG-4/SD	3113	1131	1132[Fre]	8000
 3651	L	40450-2/3	C	TV	Nina sat	No	MPEG-4/SD	3114	1141	1142[Fre]	8000
 3651	L	40450-2/3	C	TV	Private TV	No	MPEG-4/HD|RedCrypter	3115	1151	1152[Eng]	8000
 3651	L	40450-2/3	C	TV	Redlight HD	No	MPEG-4/HD|RedCrypter	3116	1161	1162[Eng]	8000
 3651	L	40450-2/3	C	TV	Vivid Red	No	MPEG-4/HD|RedCrypter	3117	1171	1172[Eng]	8000
 3651	L	40450-2/3	C	TV	RTI 1	No	MPEG-4/SD|Conax	3118	1181	1182[Fre]	8000
 3651	L	40450-2/3	C	TV	RTI 2	No	MPEG-4/SD|Conax	3119	1191	1192[Fre]	8000
 3651	L	40450-2/3	C	TV	Duck TV SD	No	MPEG-4/SD|Conax	3120	1201	1202[Eng]	8000
 3651	L	40450-2/3	C	TV	Fix & Foxi	No	MPEG-4/SD|Conax	3121	1211	1212[Eng]	8000
 3651	L	40450-2/3	C	TV	ST Sports 3	No	MPEG-4/SD|Conax	3122	1221	1222[Eng]	8000
 3651	L	40450-2/3	C	TV	ST Sports Premium	No	MPEG-4/SD|Conax	3123	1231	.232[Eng]	8000
 3651	L	40450-2/3	C	TV	ST Kids	No	MPEG-4/SD|Conax	3124	1241	1242[Eng]	8000
 3651	L	40450-2/3	C	TV	ST Kungfu	No	MPEG-4/SD|Conax	3125	1251	1252[Eng]|1253[Fre]	8000
 3651	L	40450-2/3	C	TV	ST Sino Drama	No	MPEG-4/SD|Conax	3126	1261	1262[Eng]|1263[Fre]	8000
 3651	L	40450-2/3	C	TV	ST Bollywood	No	MPEG-4/SD|Conax	3127	1271	1272[Eng]	8000
 3651	L	40450-2/3	C	TV	RT News	No	MPEG-4/SD|Conax	3128	1281	1282[Eng]	8000
 3651	L	40450-2/3	C	TV	RT France	No	MPEG-4/SD|Conax	3129	1291	1292[Fre]	8000
 3651	L	40450-2/3	C	TV	Penthouse Black	No	MPEG-4/SD|Conax	3130	1301	1302[Fre]	8000
 3651	L	40450-2/3	C	TV	Penthouse Passion	No	MPEG-4/SD|Conax	3131	1311	1312[Eng]	8000
 3651	L	40450-2/3	C	TV	Baby TV Europe	No	MPEG-4/SD|Conax	3132	1321	1322[Fre]|1323[Eng]	8000
 3651	L	40450-2/3	C	TV	Voyage	No	MPEG-4/SD|Conax	3133	1331	1332[Fre]	8000
 3651	L	40450-2/3	C	TV	National Geographic France	No	MPEG-4/SD|Conax	3134	1341	1342[Fre]	8000
 3651	L	40450-2/3	C	TV	Nat Geo Wild France	No	MPEG-4/SD|Conax	3135	1351	1352[Fre]	8000
 3651	L	40450-2/3	C	TV	ESPN Africa	No	MPEG-4/SD|Conax	3136	1361	1362[Fre]|1363[Eng]	8000
 3651	L	40450-2/3	C	TV	ESPN 2 Africa	No	MPEG-4/SD|Conax	3137	1371	1372[Eng]	8000
 3651	L	40450-2/3	C	TV	Tivi 5 Monde	No	MPEG-4/SD|Conax	3139	1391	1392[Fre]	8000
 3651	L	40450-2/3	C	TV	TV 5 Monde Afrique	No	MPEG-4/SD|Conax	3140	1401	1402[Fre]	8000
 3651	L	40450-2/3	C	TV	TV 5 Monde Style HD	No	MPEG-4/SD|Conax	3141	1411	1412[Fre]	8000
 3651	L	40450-2/3	C	R	Radio Tchad	Yes		3105		1052[Fre]	8000
 4111	R	30000-3/4	C	TV	Bundesliga tests	No	MPEG-4/SD	506	5061	5062	9006
 4111	R	30000-3/4	C	TV	TVC News	Yes	MPEG-4/SD	1009	902	903[Eng]	9006
 4111	R	30000-3/4	C	TV	StarTimes TV Guide Uganda	Yes	MPEG-4/SD	1040	4002	4003[Eng]	9006
 4153	R	30000-3/4	C	TV	CNC World English	Yes	MPEG-4/SD	2019	1902	1903[Eng]	9011
 4164	L	556-1/2	C	R	Africa N° 1 Paris	Yes		1000		101[Fre]	9013
11013	V	30000-3/5	Transalpine	TV	Rai Sport	Yes	MPEG-2/SD	8562	232	242[Ita]|342[Qaa]	10001
11013	V	30000-3/5	Transalpine	TV	Rai Scuola	Yes	MPEG-2/SD	8565	2.5	244[Ita]	10001
11013	V	30000-3/5	Transalpine	TV	Rai 5	Yes	MPEG-2/SD	8576	234	254[Ita]|354[Qaa]	10001
11013	V	30000-3/5	Transalpine	TV	Rai Storia	Yes	MPEG-2/SD	8577	236	255[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio 3 Classica	Yes		8570		250[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Gr Parlamento	Yes		8572		252[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Isoradio	Yes		8573		253[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio Tutta Italiana	Yes		8578		256[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio Techete'	Yes		8579		257[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio Live	Yes		8580		258[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio Kids	Yes		8589		259[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio 1 Sport	Yes		8590		260[Ita]	10001
11013	V	30000-3/5	Transalpine	R	Rai Radio 2 Indie	Yes		8591		261[Ita]	10001
11013	V	30000-3/5	Transalpine	TV	Rai 3 Piemonte	Yes	MPEG-2/SD	3203	524	662[Ita]	10015
