Frequency	Pol	Txp	Beam	EIRP (dbW)	Provider	System	SR-FEC	Modulation	ONID-TID	Source	Updated	Row
11460	H	1	Europe Ku		(feeds)	DVB-S2	7200-3/4	16APSK		Jamie A	150523	6000
11462	V	2	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Serdar 22	170806	6001
11469	H	1	Europe Ku		(feeds)	DVB-S2	3214-3/4	8PSK		Roli	150210	6002
11470	V	2	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Serdar 22	171029	6003
11479	V	2	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Serdar 22	171029	6004
11479	H	1	Europe Ku		(feeds)	DVB-S	4444-3/4			Serdar 22	140821	6005
11486	V	2	Europe Ku		(feeds)	DVB-S2	3750-3/4	8PSK		Serdar 22	170820	6006
11490	H	1	Europe Ku		(feeds)	DVB-S2	3300-5/6	8PSK		Roli	150719	6007
11499	H	3	Europe Ku		(feeds)	DVB-S2	3650-3/4	8PSK		Roli	200118	6008
11499	V	4	Europe Ku		(feeds)	DVB-S2	4937-3/4	8PSK		Jamie A	200229	6009
11504	H	3	Europe Ku		(feeds)	DVB-S2	3650-3/4	8PSK		Roli	200118	6010
11505	V	4	Europe Ku		(feeds)	DVB-S2	4937-3/4	8PSK		Jamie A	200229	6011
11518	H	3	Europe Ku		(feeds)	DVB-S2	4937-3/4			Stanley_cassidy	170916	6012
11519	V	4	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Marcel 2	180830	6013
11527	V	4	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Marcel 2	180830	6014
11530	H	3	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Serdar 22	171003	6015
11581	V	8	Europe Ku		(feeds)	DVB-S	6111-3/4			Marcel 2	160107	6016
11582	H	7	Europe Ku	51						Martin cz|P Piotrowski	200219	6017
11586	H	7	Europe Ku		(feeds)	DVB-S2	4800-3/4	8PSK		F Kocsis	180525	6018
11590	H	7	Europe Ku		(feeds)	DVB-S2	2400-2/3	8PSK		Serdar 22	171111	6019
11596	H	7	Europe Ku		(feeds)	DVB-S2	4800-2/3	8PSK		F Kocsis	180525	6020
11597	V	8	Europe Ku		(feeds)	DVB-S	4500-7/8			Roli	130530	6021
11602	H	7	Europe Ku		(feeds)	DVB-S2	2400-2/3	8PSK		Roli	160605	6022
11609	H	7	Europe Ku		(feeds)	DVB-S2	4800-3/4	8PSK		Marcel 2	170327	6023
11620	H	9	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	130708	6024
11620	V	10	Europe Ku		(feeds)	DVB-S2	4800-3/4	8PSK		Roli	200315	6025
11626	V	10	Europe Ku		(feeds)	DVB-S2	4800-3/4	8PSK		Roli	200315	6026
11630	H	9	Europe Ku		(feeds)	DVB-S	6666-7/8			Roli	130604	6027
11632	V	10	Europe Ku		(feeds)	DVB-S2	4800-3/4	8PSK		Roli	200315	6028
11636	H	9	Europe Ku		(feeds)	DVB-S2	3630-2/3	8PSK		Roli	150508	6029
11638	V	10	Europe Ku		(feeds)	DVB-S2	4800-3/4	8PSK		Roli	200315	6030
11644	H	9	Europe Ku	51	Grupa Radiowa Time	DVB-S2	5500-3/4	8PSK	1-0	Martin cz	200204	6031
11648	V	10	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	190901	6098
11651	H	9	Europe Ku		(feeds)	DVB-S2	4200-3/4	8PSK		Serdar 22	160528	6099
11658	V	12	Europe Ku		(feeds)	DVB-S2	4813-5/6	16APSK		Serdar 22	171029	6100
11669	H	11	Europe Ku		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	190901	6101
11669	V	12	Europe Ku		(feeds)	DVB-S2	7200-3/4	16APSK		Roli	200223	6102
11675	V	12	Europe Ku	51	Tuba	DVB-S2	1000-3/4	8PSK	.-.	Lexzie	190826	6103
11676	V	12	Europe Ku	51	RMF FM	DVB-S2	1410-4/5	QPSK	3-11	Lexzie	190109	6110
11677	H	11	Europe Ku		(feeds)	DVB-S2	3750-5/6	8PSK		Jamie A	191212	6118
11678	V	12	Europe Ku	51	RMF FM	DVB-S2	2050-3/4	8PSK	5-15	Lexzie	190110	6119
11681	H	11	Europe Ku		(feeds)	DVB-S2	3750-5/6	8PSK		Jamie A	191212	6144
11686	H	11	Europe Ku		(feeds)	DVB-S2	3750-5/6	8PSK		Jamie A	191212	6145
11686	V	12	Europe Ku		(feeds)	DVB-S2	2750-3/4	8PSK		Serdar 22	140809	6146
11690	H	11	Europe Ku		(feeds)	DVB-S2	3750-5/6	8PSK		Jamie A	191212	6147
11720	H	201	Europe Wide	51	M:Sat TV	DVB-S2	30000-3/4	8PSK	3-3201	N Schlammer	200330	7000
11739	V	202	Europe Wide	51	M7 Group	DVB-S2	29900-2/3	8PSK	3-3202	DXAndy	200408	7001
11758	H	203	Europe Wide	51	@ Astra Connect	DVB-S2	30000-9/10	16APSK		Marcel 2	190422	7032
11778	V	204	Europe Wide	51		DVB-S2	27500-2/3	8PSK	3-3204	Serdar 22	161229	7033
11798	H	205	Europe Wide	51	M:Sat TV	DVB-S2	30000-3/4	8PSK	3-3205	N Schlammer	191015	7036
11817	V	206	Europe Wide	51	M:Sat TV	DVB-S2	30000-3/4	8PSK	3-3206	Martin cz	200321	7037
11856	V	208	Europe Wide	51	M7 Group	DVB-S2	29900-2/3	8PSK	3-3208	DXAndy	190428	7038
11876	H	209	Europe Wide	51	Skylink	DVB-S2	29900-3/4	8PSK	3-3209	Martin cz	200218	7056
