Frequency	Pol	Txp	Beam	EIRP (dbW)	Provider	System	SR-FEC	Modulation	ONID-TID	Source	Updated	Row
 3651	L	C1	C	39		DVB-S2	40450-2/3	8PSK	366-60030	F Dibba	200303	8000
 3712	L	C2	C	39						DX Bozóth	200105	9000
 4017	R	C8	C		(feeds)	DVB-S2	9700-3/4	8PSK		Jonali	190620	9001
 4030	R	C8	C		(feeds)	DVB-S2	9700-3/4	8PSK		Jonali	190620	9002
 4048	R	C8	C		(Eurovision feeds)	DVB-S2	9873-3/4	8PSK		Onacila	180125	9003
 4060	R	C8	C		(feeds)	DVB-S2	6667-3/4	8PSK		M Hajdú	190115	9004
 4077	L	C3	C		(feeds)	DVB-S2	3100-5/6	QPSK		DX Bozóth	121002	9005
 4111	R	C9	C	39	StarTimes TV Uganda	DVB-S2	30000-3/4	8PSK	222-13663	N Schlammer	200301	9006
 4137	L	C5	C		(feeds)	DVB-S2	2143-3/4	QPSK		Zelda	170917	9010
 4153	R	C10	C	39	StarTimes TV Uganda	DVB-S2	30000-3/4	8PSK	13664-13664	N Schlammer	191105	9011
 4164	L	C5	C	39	Africa N° 1 Paris	DVB-S	556-1/2		1-1	Sat DX Club Deutschland	140531	9013
10972	V	KC1	Super	53	Fransat	DVB-S2	29950-3/4	8PSK	1375-20600	N Schlammer	191111	10000
11013	V	B4	Transalpine	0	RAI	DVB-S2	30000-3/5	8PSK	318-2	D Lita	180723	10001
11013	V	B4	Transalpine	0	RAI	DVB-S2	30000-3/5	8PSK	200-250	D Lita	180119	10015
11043	H	KC8	Super		(feeds)	DVB-S2	6975-5/6			Stanley_cassidy	190915	10017
11054	V	KC3	Super	53	Fransat	DVB-S2	29950-3/4	8PSK	1375-20500	D Lita	170115	10018
11061	H	KC9			(feeds)	DVB-S2	6975-5/6			Stanley_cassidy	190915	10020
11070	H	KC9			(feeds)	DVB-S2	6975-5/6			Stanley_cassidy	190915	10021
11096	V	B8	Transalpine	0	Fransat	DVB-S2	29950-3/4	8PSK	1375-20400	Z Viglidán|D Shimoni	200206	10022
11137	V	KC5	Super	53	Fransat	DVB-S2	29950-2/3	8PSK	1375-10500	Z Viglidán|D Shimoni	200206	10026
11179	V	B12	Transalpine	0	RAI	DVB-S2	30000-3/5	8PSK	318-4	D Lita	180723	10028
11179	V	B12	Transalpine	0	RAI	DVB-S2	30000-3/5	8PSK	318-5	D Lita	180723	10035
11179	V	B12	Transalpine	0	RAI	DVB-S2	30000-3/5	8PSK	0-210	M Al-Taie	190310	10039
11179	V	B12	Transalpine	0	RAI	DVB-S2	30000-3/5	8PSK	0-210	D Lita	180805	10042
11456	H	D1	Transalpine	0	TowerCast	DVB-S2	2400-3/4	QPSK	8442-3	T Viererbe	150606	11000
11458.2	H	D1	Transalpine	0	TowerCast	DVB-S	543-1/2		1-1000	T Enefer	140921	11004
11465.2	H	D1	Transalpine	0	Alouette	DVB-S2	667-3/5	8PSK	0-1	Marcel 2	170925	11007
11471	V	D2	Transalpine	0	Fransat	DVB-S2	29950-3/4	8PSK	1375-20100	Z Viglidán|D Shimoni	200206	11012
11472	H	D1	Transalpine	0		DVB-S2	9900-4/5	QPSK	1375-13010	N Schlammer	200214	11076
