No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10714	H	22000	2/3	49	Europe	0	8	0	0	8
	10744	H	22000	5/6	51	Europe	0	4	0	0	4
	10773	H	22000	3/4	53	Europe	0	9	0	0	9
	10803	H	22000	3/4	55	Europe	0	9	0	0	9
	10847	V	22000	5/6	58	Europe	6	2	0	0	8
	10891	H	22000	2/3	61	Europe	0	6	0	0	6
	10921	H	22000	7/8	63	Europe	0	5	0	0	5
	10964	H	22000	2/3	33	Europe Ku	0	8	0	0	8
	10994	H	22000	5/6	35	Europe Ku	0	2	0	0	2
	11053	H	22000	2/3	39	Europe Ku	0	5	0	0	5
	11068	V	22000	5/6	40	Europe Ku	0	4	0	0	4
	11112	H	22000	2/3	43	Europe Ku	0	5	0	0	5
	11156	V	22000	5/6	46	Europe	0	1	0	0	1
	11171	H	22000	3/4	47	Europe	0	1	0	0	1
	11186	V	22000	5/6	48	Europe Ku	1	1	0	0	2
	11214	H	22000	2/3	1	Europe	0	1	0	0	1
	11229	V	22000	2/3	2	Europe	0	6	0	0	6
	11244	H	22000	5/6	3	Europe	0	5	0	0	5
	11273	H	22000	2/3	5	Europe	0	9	0	0	9
	11288	V	22000	2/3	6	Europe Ku	0	4	0	0	4
	11303	H	22000	2/3	7	Europe Ku	1	5	0	0	6
	11347	V	22000	2/3	10	Europe	0	3	0	0	3
	11362	H	22000	2/3	11	Europe	0	2	0	0	2
	11377	V	22000	2/3	12	Europe Ku	2	6	0	0	8
	11391	H	22000	5/6	13	Europe	0	2	0	0	2
	11421	H	22000	5/6	15	Europe	0	5	0	0	5
	11464	H	22000	2/3	17	Pan Europe	0	9	0	0	9
	11494	H	22000	2/3	19	Pan Europe	0	4	0	0	4
	11509	V	22000	5/6	20	Europe Ku	0	3	0	0	3
	11538	V	22000	5/6	22	Europe Ku	0	7	0	0	7
	11553	H	22000	2/3	23	Europe Ku	0	8	0	0	8
	11582	H	22000	2/3	25	Pan Europe	0	7	0	0	7
	11597	V	22000	5/6	26	Europe Ku	0	5	0	0	5
	11612	H	22000	5/6	27	Pan Europe	1	4	0	0	5
	11627	V	22000	5/6	28	Europe Wide	0	3	0	0	3
	11656	V	22000	2/3	30	Pan Europe	0	4	0	0	4
	11671	H	22000	2/3	31	Pan Europe	0	4	0	0	4
	11686	V	22000	5/6	32	Europe	0	1	0	0	1
	11778	V	29500	9/10	68	Europe Wide	1	1	0	0	2
	11836	H	27500	3/4	71	Pan Europe	0	6	0	0	6
	11856	V	29700	2/3	72	Europe Wide	0	1	0	0	1
	11934	V	29700	2/3	76	Europe Wide	0	1	0	0	1
	11954	H	27500	3/4	77	Pan Europe	5	5	0	0	10
	11973	V	27500	3/4	78	Europe Wide	0	15	0	0	15
	12032	H	27500	9/10	81	Pan Europe	0	1	0	0	1
	12051	V	27500	3/4	82	Pan Europe	0	10	0	0	10
	12110	H	27500	3/4	85	Europe	0	10	0	0	10
	12129	V	29700	2/3	86	Pan Europe	0	1	0	0	1
	12148	H	27500	3/4	87	Pan Europe	5	11	0	0	16
	12168	V	29700	2/3	88	Pan Europe	0	1	0	0	1
	12188	H	27500	3/4	89	Europe Ku	0	12	0	0	12
	12207	V	29700	2/3	90	Pan Europe	0	4	0	0	4
	12226	H	27500	3/4	91	Europe Ku	0	9	0	0	9
	12266	H	27500	3/4	93	Europe	68	2	0	0	70
	12304	H	27500	9/10	95	Pan Europe	0	1	0	0	1
	12344	H	30000	2/3	97	Europe	0	4	0	0	4
	12363	V	27500	3/4	98	Pan Europe	35	0	0	0	35
	12402	V	29700	2/3	100	Pan Europe	0	1	0	0	1
	12422	H	27500	3/4	101	Europe	0	14	0	0	14
	12460	H	27500	3/4	103	Europe	3	12	0	0	15
	12480	V	27500	3/4	104	Europe	0	13	0	0	13
	12515	H	22000	5/6	105	Europe Ku	6	12	0	0	18
	12545	H	22000	5/6	107	Europe Ku	0	9	0	0	9
	12552	V	22000	5/6	108	Pan Europe	0	5	0	0	5
	12574	H	22000	2/3	109	Europe Ku	0	7	0	0	7
	12604	H	22000	5/6	111	Pan Europe	3	6	0	0	9
	12633	H	22000	5/6	113	Pan Europe	12	23	0	0	35
	12663	H	22000	5/6	115	Pan Europe	15	10	0	0	25
	12692	H	22000	5/6	117	Pan Europe	0	7	0	0	7
