No	Freq	Pol	Beam	SID	Name	Lang
1	11345	H	Nordic	2875	SBN International	[eng][spa]
	11345	V	Nordic	1776	DR P2	[dan]
	11345	V	Nordic	1778	DR P3	[dan]
	11345	V	Nordic	1798	DR P1	[dan]
	11727	H	Sub Saharan Africa	1	Zuku Zone	[eng]
	11747	V	Europe BSS	7605	Tellytrack 2	[eng]
	11747	V	Europe BSS	7610	Telekanal Zik	[ukr]
3	11747	V	Europe BSS	7615	Zik	[ukr]
5	11747	V	Europe BSS	7620	Svoboda	[ukr]
6	11747	V	Europe BSS	7625	5 Kanal (Ukraine)	[ukr]
7	11747	V	Europe BSS	7630	News One (Ukraine)	[ukr]
8	11747	V	Europe BSS	7640	4 Kanal	[ukr]
9	11747	V	Europe BSS	7645	Svarozhichi	[rus]
	11747	V	Europe BSS	7650	European Racing Channel	[eng]
10	11747	V	Europe BSS	7660	Pershyy Nezalezhnyy	[ukr]
11	11747	V	Europe BSS	7665	TV 5 (Ukraine)	[ukr]
12	11747	V	Europe BSS	7670	Zoryanyy	[ukr]
13	11747	V	Europe BSS	7675	Donbass Online	[ukr]
14	11747	V	Europe BSS	7680	ATR	
15	11747	V	Europe BSS	7685	Obozrevatel TV	[ukr]
	11747	V	Europe BSS	7690	English Club TV	[eng][rus]
	11766	H	Europe BSS	6100	1+1	[ukr]
	11766	H	Europe BSS	6101	1+1	[ukr]
	11766	H	Europe BSS	6108	Kvartal TV	[ukr]
	11766	H	Europe BSS	6110	TET	[ukr]
	11766	H	Europe BSS	6112	Plus Plus	[ukr]
	11766	H	Europe BSS	6114	Bigudi	[ukr]
	11766	H	Europe BSS	6120	2+2	[ukr]
	11766	H	Europe BSS	6125	1+1 International	[ukr]
	11766	H	Europe BSS	6130	Paramount Comedy Ukraina	[ukr]
	11766	H	Europe BSS	6132	Dacha	[rus]
	11766	H	Europe BSS	6150	Spike Ukraina	[eng][ukr]
	11766	H	Europe BSS	6152	FilmUaDrama	[rus]
	11766	H	Europe BSS	6154	36.6 TV	[ukr]
	11766	H	Europe BSS	6156	Paramount Channel Russia	[eng][rus]
	11766	H	Europe BSS	6158	Nicktoons Scandinavia	[eng][rus]
16	11766	H	Europe BSS	6160	Unian TV	[ukr]
	11766	H	Europe BSS	6162	Epoque	[rus]
17	11766	H	Europe BSS	6165	Avers	[ukr]
	11766	H	Europe BSS	6175	Music Box Ukraina	[ukr]
	11766	H	Europe BSS	6190	OTV (Ukraine)	[ukr]
	11766	H	Europe BSS	6194	Kus Kus	[ukr]
	11919	H	Sub Saharan Africa	5	Bet 9JA Virtual Game	[eng]
	11919	H	Sub Saharan Africa	7	ABC TV (Tanzania)	[eng]
	11919	H	Sub Saharan Africa	10	Resurrection TV	[eng]
	11919	H	Sub Saharan Africa	11	Bet 9JA Virtual Game 2	[eng]
	11919	H	Sub Saharan Africa	24	The Israeli Network	[heb]
	11919	H	Sub Saharan Africa	51	The Liberty Radio Network	[eng]
	11919	H	Sub Saharan Africa	57	TWR Africa 2	[eng]
	11919	H	Sub Saharan Africa	60	VoA Southern Africa	
	11919	H	Sub Saharan Africa	61	VoA TV Africa	[eng]
	11919	H	Sub Saharan Africa	62	Voice of America	
	11919	H	Sub Saharan Africa	63	VoA Rwanda	
	11919	H	Sub Saharan Africa	64	VoA 1	[eng]
	11919	H	Sub Saharan Africa	65	VoA Congo-Brazzaville	
	11919	H	Sub Saharan Africa	66	Radio Sawa Mauritania	[ara]
